Pair Name,Bid Price,Ask Price,High Price,Low Price,Percent Change
EUR/USD,1.1872,1.1869,1.1871,1.1868,+0.03%
USD/JPY,109.35,109.32,109.34,109.31,+0.05%
GBP/USD,1.3884,1.3880,1.3894,1.3879,+0.01%
USD/CHF,0.9059,0.9053,0.9058,0.9054,+0.02%
USD/CAD,1.2509,1.2505,1.2512,1.2506,-0.02%
EUR/JPY,129.83,129.74,129.79,129.73,+0.08%
AUD/USD,0.7366,0.7362,0.7365,0.7360,+0.05%
NZD/USD,0.6967,0.6966,0.6982,0.6964,-0.02%
EUR/GBP,0.8553,0.8549,0.8553,0.8542,+0.05%
EUR/CHF,1.0755,1.0745,1.0752,1.0747,+0.06%
AUD/JPY,80.55,80.48,80.51,80.44,+0.11%
GBP/JPY,151.84,151.74,151.89,151.71,+0.07%
CHF/JPY,120.80,120.68,120.76,120.67,+0.08%
EUR/CAD,1.4851,1.4841,1.4850,1.4843,+0.01%
AUD/CAD,0.9214,0.9206,0.9213,0.9206,+0.03%
CAD/JPY,87.45,87.39,87.43,87.37,+0.10%
NZD/JPY,76.24,76.17,76.32,76.12,+0.07%
AUD/NZD,1.0574,1.0567,1.0575,1.0543,+0.17%
GBP/AUD,1.8859,1.8845,1.8876,1.8848,-0.02%
EUR/AUD,1.6126,1.6112,1.6128,1.6115,0.00%
GBP/CHF,1.2577,1.2566,1.2584,1.2568,+0.03%
EUR/NZD,1.7043,1.7035,1.7045,1.6999,+0.14%
AUD/CHF,0.6669,0.6665,0.6671,0.6665,+0.04%
GBP/NZD,1.9931,1.9924,1.9936,1.9879,+0.12%
USD/INR,74.358,74.354,74.433,74.316,+0.03%
USD/CNY,6.4661,6.4581,6.4686,6.4595,+0.02%
USD/SGD,1.3537,1.3532,1.3535,1.3530,+0.02%
USD/HKD,7.7738,7.7734,7.7736,7.7725,+0.02%
USD/DKK,6.2664,6.2654,6.2669,6.2656,+0.02%
GBP/CAD,1.7367,1.7358,1.7383,1.7361,-0.01%
USD/SEK,8.5945,8.5915,8.6048,8.5922,-0.04%
USD/RUB,73.0467,73.0467,73.0467,73.0467,0.00%
USD/TRY,8.3605,8.3505,8.3555,8.3530,+0.14%
USD/MXN,19.9250,19.8950,19.9130,19.9100,+0.07%
USD/ZAR,14.4752,14.4580,14.4729,14.4554,+0.08%
CAD/CHF,0.7240,0.7237,0.7243,0.7235,+0.03%
NZD/CAD,0.8715,0.8711,0.8734,0.8709,-0.06%
NZD/CHF,0.6308,0.6306,0.6324,0.6306,-0.05%
BTC/USD,"38,945.0","38,938.0","41,294.0","38,716.0",-5.20%
BTC/EUR,"32,827.6","32,827.5","34,055.6","32,633.1",-5.24%
ETH/USD,"2,602.58","2,602.57","2,678.89","2,507.15",-1.94%
